"","Name","PPG","GP","Mins","FGA","FGM","FG%","3PA","3PM","3P%","FTA","FTM","FT%","PPM","PF3PG","PerPF3"
"63","Jordan Bone",15.6,25,34,13.1,5.7,0.437,5.9,2,0.345,1.6,1.3,0.8,0.458823529411765,6,38.4615384615385
"64","Tyler Cook",15.6,27,32.1,10.2,6.4,0.633,0,0,0,3.3,1.6,0.494,0.485981308411215,0,0
"65","Dakota Mathias",15.5,31,30.4,12.1,5.4,0.448,7.6,3.1,0.401,1.1,1,0.886,0.509868421052632,9.3,60
"66","Trey Burke",15.5,29,25,11.9,5.4,0.454,5.9,2.5,0.424,1.4,1.3,0.905,0.62,7.5,48.3870967741936
"67","Julian Champagnie",15.5,26,30.1,12.6,5.2,0.41,7,2.3,0.33,2,1.7,0.846,0.514950166112957,6.9,44.5161290322581
"68","Alize Johnson",15.5,22,29.7,10.4,6.3,0.605,1.4,0.4,0.258,2.2,1.5,0.673,0.521885521885522,1.2,7.74193548387097
"69","Quenton Jackson",15.5,29,26.4,9.9,5.3,0.535,2.6,1,0.395,3.1,2.4,0.775,0.587121212121212,3,19.3548387096774
"70","Stanley Umude",15.4,25,27.5,12.7,5.2,0.413,6.4,2.5,0.385,1.9,1.5,0.771,0.56,7.5,48.7012987012987
"71","Cassius Stanley",15.4,23,27.7,10.4,6,0.571,3.2,1.1,0.356,2.5,1.6,0.632,0.555956678700361,3.3,21.4285714285714
"72","Jalen Crutcher",15.3,24,31.9,11.9,5.5,0.462,6.8,2.8,0.42,1.1,1,0.889,0.479623824451411,8.4,54.9019607843137
"73","Matthew Hurt",15.3,28,24.8,10.3,6.1,0.595,3.8,1.5,0.393,1.3,0.9,0.722,0.616935483870968,4.5,29.4117647058824
"74","Jules Bernard",15.3,32,28.1,11.2,5,0.446,4.9,1.8,0.361,3,2.3,0.779,0.544483985765125,5.4,35.2941176470588
"75","Christian Vital",15.1,31,25.2,11,5,0.457,6.6,2.6,0.397,1.7,1.5,0.906,0.599206349206349,7.8,51.6556291390729
"76","Rob Edwards",15.1,29,31.7,11.4,4.8,0.419,7.3,2.7,0.366,2.1,1.7,0.817,0.476340694006309,8.1,53.6423841059603
"77","Jaden Shackelford",15,26,29.5,12.2,5,0.412,8.4,3.3,0.388,1.3,0.9,0.686,0.508474576271186,9.9,66
"78","James Huff",15,28,25.7,9.4,6,0.645,1.7,0.7,0.404,1.7,1.3,0.766,0.583657587548638,2.1,14
"79","Chris Silva",14.8,22,25.6,9.7,5.2,0.533,0,0,0,3.5,2.6,0.74,0.578125,0,0
"80","Kamar Baldwin",14.8,31,34.2,12.9,6.1,0.469,4.8,1.8,0.367,0.8,0.6,0.75,0.432748538011696,5.4,36.4864864864865
"81","Devon Dotson",14.8,29,31.7,11.2,5.9,0.529,2.7,1.1,0.392,1.5,1.2,0.814,0.466876971608833,3.3,22.2972972972973
"82","Jerome Robinson",14.8,24,29.2,11.3,5.2,0.463,4.8,1.8,0.362,1.8,1.6,0.929,0.506849315068493,5.4,36.4864864864865
"83","Jordan Ford",14.7,32,26.1,11.3,5.6,0.5,4.9,2,0.401,1.1,0.9,0.806,0.563218390804598,6,40.8163265306122
"84","Feron Hunt",14.6,32,30.8,10.6,5.8,0.549,2.6,0.7,0.268,2,1.4,0.688,0.474025974025974,2.1,14.3835616438356
"85","Keaton Wallace",14.6,30,32.3,11.9,5.6,0.466,4.9,2,0.411,1.1,0.9,0.765,0.452012383900929,6,41.0958904109589
"86","Armoni Brooks",14.5,28,26.8,11.6,5.1,0.444,7.7,3,0.384,1.1,0.9,0.8,0.541044776119403,9,62.0689655172414
"87","Trevor Keels",14.5,24,31.4,12.8,5.5,0.425,5.8,2,0.355,1.3,0.9,0.71,0.461783439490446,6,41.3793103448276
"88","Nate Williams, Jr.",14.4,32,29.8,10.2,5.3,0.523,4.1,1.7,0.42,1.4,1.2,0.848,0.483221476510067,5.1,35.4166666666667
"89","James Akinjo",14.4,20,29.3,12.7,5.6,0.439,5,1.7,0.34,1.3,1,0.769,0.491467576791809,5.1,35.4166666666667
"90","Chaundee Brown, Jr.",14.4,20,30,12.3,5.5,0.447,4.2,1.2,0.286,1.6,1.3,0.839,0.48,3.6,25
"91","Javante McCoy",14.2,26,25.9,11.2,5.9,0.524,3.1,1.2,0.37,1.2,0.9,0.767,0.548262548262548,3.6,25.3521126760563
"92","Bryce Hamilton",14.1,29,28.2,11.3,5.8,0.514,3.8,1.4,0.385,1,0.7,0.679,0.5,4.2,29.7872340425532
"93","Chasson Randle",14.1,29,29.2,11.1,5,0.452,5.7,2.3,0.398,1.4,1,0.732,0.482876712328767,6.9,48.936170212766
